"candidate","kb","pct_shift_wc","pct_shift_mean","cut95_se_wc","cut95_pp_wc","size95_lo","size95_hi","size99_hi","n_cells_na","wc_cell","n_anchor","n_knots"
"K100_rank10",42.2,90.5,1.80499036640049,7800.7458966543,0.0427188248142236,0.000499999999999945,0.0703656483223001,0.0158173919139096,0,"k3/N1000/q0.99/pv0.50",2310,100
"thinN7P3_K50_intdelta",71,86.333510131508,9.87200468087954,24128.4176014925,3.0079132174102,0.000499999999999945,0.163677800820948,0.101114164596218,0,"k25/N1000/q0.75/pv0.20",882,49
"K100_rank20",81.6,86.3672834074275,1.27547571816822,6419.72516571457,0.0111977470379283,0.000499999999999945,0.0641930572373901,0.0345778997253096,0,"k3/N1000/q0.99/pv0.50",2310,100
"thinN7_K50_intdelta",115.8,40.4683493158186,1.74316074321241,25806.156305413,3.0079132174102,0.0077889366533157,0.145308241846629,0.101114164596218,0,"k3/N20/q0.99/pv0.95",1470,49
"K100_rank40",164.3,41.8501541207762,0.920602945667282,420.622335470688,0.000516081422487158,0.00402607482615702,0.223740363668366,0.159227522068352,0,"k3/N1000/q0.99/pv0.50",2310,100
"K50_intdelta",179.4,9.30109753752564,0.194895405564162,30.3001825961158,0.000330061911865798,0.0279991172831755,0.072008774991491,0.0210048215407759,0,"k3/N15/q0.99/pv0.05",2310,49
"peel_K50_intdelta",180,9.30109753752564,0.195458620885003,30.3001825961158,0.000330061911865798,0.0279991172831755,0.072008774991491,0.0210048215407759,0,"k3/N15/q0.99/pv0.05",2308,49
"K25_signif5",238.9,8.7012862281826,0.432678520693168,4.2789767058099,4.98513428530689e-05,0.0349989215996384,0.0700000065993441,0.0180012964949396,0,"k3/N15/q0.99/pv0.05",2310,24
"K50_dict4",240.7,8.25026072060943,0.197990244594808,47.605582569582,0.000499580381883469,0.0279994413209557,0.0730077957704535,0.0180210200385689,0,"k10/N15/q0.99/pv0.95",2310,49
"K100_intdelta",343.8,9.60048502378759,0.15150733507354,11.707862569571,0.000304606464601509,0.0349943307421239,0.0720148413777829,0.0200012757769663,0,"k8/N15/q0.99/pv0.95",2310,100
"thinN7P3_signif5",366.4,86.394808459074,9.86709570288021,24117.0636047813,3.00790365663461,0.000499999999999945,0.16367609493678,0.101111668969522,0,"k25/N1000/q0.75/pv0.20",882,100
"K100_signif3",371.8,9.40356361658176,0.218851521589674,361.299435770776,0.00495592307295611,0.0279826017744501,0.0730077957704535,0.0210247198964666,0,"k8/N15/q0.99/pv0.95",2310,100
"K100_dict4",401.4,9.70098242916686,0.155334423631823,47.605582569582,0.000499580381883469,0.0279994413209557,0.0730077957704535,0.0180210200385689,0,"k8/N15/q0.99/pv0.05",2310,100
"K50_signif5",431.8,8.00061174267222,0.1923900600863,4.2789767058099,4.98513428530689e-05,0.0349989215996384,0.0700000065993441,0.0180012964949396,0,"k3/N15/q0.99/pv0.05",2310,49
"peel_K50_signif5",433,8.00061174267222,0.192953796718887,4.2789767058099,9.43637111801843e-05,0.0349989215996384,0.0700000065993441,0.0180012964949396,0,"k3/N15/q0.99/pv0.05",2308,49
"thinN5_signif5",435.2,40.5396574813016,4.373686157743,52829.7460910667,2.93146139265421,0.00714939342954712,0.142356492835188,0.0974970605330361,0,"k3/N20/q0.99/pv0.95",1050,100
"thinP3_signif5",529.6,86.394808459074,8.55718459586826,5220.29943577075,0.391661604821048,0.000499999999999945,0.16367609493678,0.0507795284026445,0,"k25/N1000/q0.75/pv0.20",1386,100
"K100_signif4",537.1,9.70098242916686,0.155334423631823,47.605582569582,0.000499580381883469,0.0279994413209557,0.0730077957704535,0.0180210200385689,0,"k8/N15/q0.99/pv0.05",2310,100
"thinN7_signif5",562,40.425365619207,1.71626282489313,25808.2888856092,3.00790365663461,0.00778883499002914,0.145308033728526,0.101111668969522,0,"k3/N20/q0.99/pv0.95",1470,100
"K100_signif5",811,9.40004490679357,0.148705347638567,4.2789767058099,4.98513428530689e-05,0.0349989215996384,0.0700000065993441,0.0180012964949396,0,"k8/N15/q0.99/pv0.95",2310,100
"peel_r1_a2308",811.7,9.40004490679357,0.149374566012323,4.2789767058099,9.43637111801843e-05,0.0349989215996384,0.0700000065993441,0.0180012964949396,0,"k8/N15/q0.99/pv0.95",2308,100
"K100_dict5",831.2,9.40004490679357,0.148705347638567,4.2789767058099,4.98513428530689e-05,0.0349989215996384,0.0700000065993441,0.0180012964949396,0,"k8/N15/q0.99/pv0.95",2310,100
