"candidate","kb","pct_shift_wc","pct_shift_mean","cut95_se_wc","cut95_pp_wc","size95_lo","size95_hi","size99_hi","n_cells_na","wc_cell","n_anchor","n_knots"
"K100_rank10",37.6,43,0.623919592095767,7499.0766575416,0.0410491449556751,0.000499999999999945,0.0612029915667801,0.0146143724646777,0,"k5/N1000/q0.97/pv0.50",1925,100
"thinN7P3_K50_intdelta",58,86.333510131508,10.4745903171415,24128.4176014925,3.0079132174102,0.000499999999999945,0.163677800820948,0.101114164596218,0,"k25/N1000/q0.75/pv0.20",735,49
"K100_rank20",72.3,26.2496243917351,0.37731489957428,3169.9727795689,0.00831029082222401,0.00200904387033962,0.0591021139624979,0.051590328323044,0,"k25/N1000/q0.97/pv0.50",1925,100
"thinN7_K50_intdelta",95.3,25.9438725496016,1.52180120848351,25806.156305413,3.0079132174102,0.0197856580597001,0.145308241846629,0.101114164596218,0,"k3/N20/q0.97/pv0.05",1225,49
"K100_rank40",145.4,25.1435796238348,0.211942103298304,167.564027764883,0.000487670169383225,0.0119597619773848,0.118268575335838,0.0517069849991307,0,"k3/N30/q0.97/pv0.95",1925,100
"K50_intdelta",147.1,7.71443412015417,0.108853837244739,30.3001825961158,0.000330061911865798,0.0279991172831755,0.0610000748486589,0.0140218338990451,0,"k3/N15/q0.97/pv0.95",1925,49
"peel_K50_intdelta",147.1,7.71443412015417,0.108853837244739,30.3001825961158,0.000330061911865798,0.0279991172831755,0.0610000748486589,0.0140218338990451,0,"k3/N15/q0.97/pv0.95",1925,49
"K25_signif5",195.8,8.55127054247306,0.352526647895605,2.39441743041247,4.98513428530689e-05,0.0429984918240589,0.0700000065993441,0.0140017213265563,0,"k3/N15/q0.97/pv0.95",1925,24
"K100_intdelta",286.2,9.35080349418974,0.0447768131381308,11.707862569571,0.000304606464601509,0.0449999112992004,0.0700014343470704,0.0140006839706414,0,"k3/N15/q0.97/pv0.95",1925,100
"thinN7P3_signif5",302.4,86.394808459074,10.4504832080642,24117.0636047813,3.00790365663461,0.000499999999999945,0.16367609493678,0.101111668969522,0,"k25/N1000/q0.75/pv0.20",735,100
"K100_signif3",308.6,8.6901502976169,0.10781384744083,361.299435770776,0.00495592307295611,0.0279826017744501,0.0621674633614065,0.0110476625091539,0,"k3/N15/q0.97/pv0.95",1925,100
"K50_signif5",354.3,7.65047057128631,0.109126383477133,2.39441743041247,4.98513428530689e-05,0.0429984918240589,0.0700000065993441,0.0140017213265563,0,"k3/N15/q0.97/pv0.95",1925,49
"peel_K50_signif5",354.3,7.65047057128631,0.109126383477133,2.39441743041247,4.98513428530689e-05,0.0429984918240589,0.0700000065993441,0.0140017213265563,0,"k3/N15/q0.97/pv0.95",1925,49
"thinN5_signif5",362.2,27.7206017314333,4.05704943225476,34512.0281052796,2.93146139265421,0.0079768185083211,0.142356492835188,0.0974970605330361,0,"k3/N30/q0.97/pv0.05",875,100
"thinP3_signif5",435.4,86.394808459074,9.30241523550228,5220.29943577075,0.391661604821048,0.000499999999999945,0.16367609493678,0.0507795284026445,0,"k25/N1000/q0.75/pv0.20",1155,100
"K100_signif4",446.6,8.65392955413075,0.0489378993398068,47.605582569582,0.000499580381883469,0.0279994413209557,0.0570126357587403,0.0140120114033454,0,"k3/N15/q0.97/pv0.95",1925,100
"thinN7_signif5",467.4,25.5667073793687,1.47297056403668,25808.2888856092,3.00790365663461,0.0197872149861624,0.145308033728526,0.101111668969522,0,"k3/N20/q0.97/pv0.95",1225,100
"K100_signif5",672.9,8.65015685709544,0.0428300500295968,2.39441743041247,4.98513428530689e-05,0.0429984918240589,0.0700000065993441,0.0140017213265563,0,"k3/N15/q0.97/pv0.95",1925,100
